Ref,Val,Package,PosX,PosY,Rot,Side
"C1","30pF","C_0603_1608Metric",220.800000,-105.200000,180.000000,top
"C2","150pF","C_0603_1608Metric",163.002651,-85.775000,-90.000000,top
"C3","150pF","C_0603_1608Metric",162.802651,-55.975000,-90.000000,top
"C4","30pF","C_0603_1608Metric",221.000000,-97.100000,180.000000,top
"C5","UES1E101MPM","CP_Radial_D8.0mm_P5.00mm",147.300000,-83.000000,180.000000,top
"C6","UES1E101MPM","CP_Radial_D8.0mm_P5.00mm",147.500000,-52.800000,180.000000,top
"C7","100nF","C_0603_1608Metric",229.800000,-100.600000,0.000000,top
"C8","10uF","CP_EIA-3528-21_Kemet-B",171.202651,-89.175000,180.000000,top
"C9","10uF","CP_EIA-3528-21_Kemet-B",171.002651,-59.375000,180.000000,top
"C10","100nF","C_0603_1608Metric",166.402651,-88.375000,180.000000,top
"C11","100nF","C_0603_1608Metric",166.202651,-58.575000,180.000000,top
"C12","27nF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",165.602651,-75.575000,0.000000,top
"C13","27nF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",165.402651,-46.175000,0.000000,top
"C14","7.5nF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",171.402651,-75.575000,0.000000,top
"C15","7.5nF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",171.202651,-46.175000,0.000000,top
"C16","10uF","CP_EIA-3528-21_Kemet-B",177.202651,-81.575000,90.000000,top
"C17","10uF","CP_EIA-3528-21_Kemet-B",177.202651,-51.775000,90.000000,top
"C18","100nF","C_0603_1608Metric",173.802651,-82.575000,90.000000,top
"C19","100nF","C_0603_1608Metric",173.802651,-52.775000,90.000000,top
"C20","100nF","C_0603_1608Metric",210.625000,-94.800000,180.000000,top
"C21","100nF","C_0603_1608Metric",217.600000,-96.200000,0.000000,top
"C22","UES1E101MPM","CP_Radial_D8.0mm_P5.00mm",192.800000,-65.775000,0.000000,top
"C23","UES1E101MPM","CP_Radial_D8.0mm_P5.00mm",192.800000,-47.975000,0.000000,top
"C24","100nF","C_0603_1608Metric",216.000000,-107.400000,180.000000,top
"C25","10uF","CP_EIA-3528-21_Kemet-B",152.602651,-98.175000,90.000000,top
"C26","100nF","C_0603_1608Metric",206.800000,-105.600000,0.000000,top
"C27","10uF","CP_EIA-3528-21_Kemet-B",158.202651,-98.175000,90.000000,top
"C28","47uF","CP_EIA-3528-21_Kemet-B",206.000000,-109.200000,180.000000,top
"C29","100nF","C_0603_1608Metric",164.602651,-107.175000,180.000000,top
"C30","100nF","C_0603_1608Metric",182.402651,-67.775000,-90.000000,top
"C31","100nF","C_0603_1608Metric",169.002651,-66.575000,90.000000,top
"C32","100nF","C_0603_1608Metric",210.300000,-78.000000,180.000000,top
"C33","10uF","CP_EIA-3528-21_Kemet-B",206.400000,-82.000000,90.000000,top
"C34","100nF","C_0603_1608Metric",165.602651,-64.775000,180.000000,top
"C35","100nF","C_0603_1608Metric",164.802651,-70.575000,0.000000,top
"C36","100nF","C_0603_1608Metric",172.402651,-69.375000,0.000000,top
"C37","10uF","CP_EIA-3528-21_Kemet-B",177.402651,-104.175000,-90.000000,top
"C38","100nF","C_0603_1608Metric",176.202651,-64.575000,0.000000,top
"C39","10uF","CP_EIA-3528-21_Kemet-B",177.402651,-98.375000,-90.000000,top
"C40","100nF","C_0603_1608Metric",181.802651,-103.175000,90.000000,top
"C41","100nF","C_0603_1608Metric",181.802651,-99.375000,-90.000000,top
"C42","100nF","C_0603_1608Metric",187.802651,-103.175000,-90.000000,top
"C43","100nF","C_0603_1608Metric",207.300000,-86.600000,-90.000000,top
"C44","100nF","C_0603_1608Metric",187.802651,-99.375000,90.000000,top
"C45","100uF - 25V","CP_Radial_D8.0mm_P5.00mm",155.802651,-112.375000,-90.000000,top
"C46","10uF","CP_EIA-3528-21_Kemet-B",164.602651,-113.375000,-90.000000,top
"C47","10uF","CP_EIA-3528-21_Kemet-B",198.202651,-56.175000,-90.000000,top
"C48","10uF","CP_EIA-3528-21_Kemet-B",216.200000,-74.037500,-90.000000,top
"C49","100nF","C_0603_1608Metric",201.202651,-55.375000,-90.000000,top
"C50","100nF","C_0603_1608Metric",216.202651,-69.175000,-90.000000,top
"C51","10uF","CP_EIA-3528-21_Kemet-B",170.002651,-114.775000,180.000000,top
"C52","100nF","C_0603_1608Metric",171.802651,-117.975000,180.000000,top
"C53","10uF","CP_EIA-3528-21_Kemet-B",204.602651,-66.175000,0.000000,top
"C54","1uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",209.402651,-60.175000,0.000000,top
"C55","1uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",209.402651,-55.975000,0.000000,top
"C56","100nF","C_0603_1608Metric",205.602651,-63.375000,180.000000,top
"C57","?","C_0603_1608Metric",216.002651,-51.975000,-90.000000,top
"C58","?","C_0603_1608Metric",216.002651,-55.400000,90.000000,top
"C59","10uF","CP_EIA-3528-21_Kemet-B",188.402651,-110.175000,-90.000000,top
"C60","15 pF","C_0603_1608Metric",219.002651,-73.575000,90.000000,top
"C61","10uF","CP_EIA-3528-21_Kemet-B",230.002651,-59.575000,0.000000,top
"C62","100nF","C_0603_1608Metric",191.402651,-110.175000,-90.000000,top
"C63","10uF","CP_EIA-3528-21_Kemet-B",230.002651,-55.375000,0.000000,top
"C64","100nF","C_0603_1608Metric",225.802651,-56.975000,-90.000000,top
"C65","15 pF","C_0603_1608Metric",227.002651,-73.575000,90.000000,top
"C66","10uF","CP_EIA-3528-21_Kemet-B",199.002651,-91.175000,180.000000,top
"C67","100nF","C_0603_1608Metric",229.202651,-52.375000,0.000000,top
"C68","100nF","C_0603_1608Metric",199.940151,-87.975000,180.000000,top
"C69","10uF","CP_EIA-3528-21_Kemet-B",231.602651,-63.775000,0.000000,top
"C70","10uF","CP_EIA-3528-21_Kemet-B",225.462500,-46.975000,180.000000,top
"C71","100nF","C_0603_1608Metric",230.802651,-66.575000,0.000000,top
"C72","100nF","C_0603_1608Metric",229.202651,-50.375000,0.000000,top
"C73","100nF","C_0603_1608Metric",198.540151,-77.375000,180.000000,top
"C74","100nF","C_0603_1608Metric",204.002651,-73.175000,90.000000,top
"C75","10uF","CP_EIA-3528-21_Kemet-B",201.002651,-72.375000,90.000000,top
"C76","100nF","C_0603_1608Metric",212.802651,-72.975000,-90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",235.400000,-41.600000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",138.800000,-118.600000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",138.400000,-41.400000,0.000000,top
"FID4","Fiducial","Fiducial_0.5mm_Mask1mm",235.600000,-118.000000,0.000000,top
"J1","Phono IN_L","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",141.000000,-71.230000,-90.000000,top
"J2","Phono IN_R","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",140.800000,-61.930000,-90.000000,top
"J3","ANALOG_OUT","TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal",210.400000,-43.800000,180.000000,top
"J4","JTAG","PinHeader_2x05_P1.27mm_Vertical_SMD",231.800000,-95.700000,0.000000,top
"J5","USB_C","USB_C_Receptacle_XKB_U262-16XN-4BVC11",222.600000,-115.600000,0.000000,top
"J6","Power Supply","TerminalBlock_bornier-2_P5.08mm",141.300000,-103.740000,90.000000,top
"J7","SPDIF_OUT","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",233.200000,-85.000000,90.000000,top
"L1","TCK-132","TCK-132",157.202651,-104.175000,0.000000,top
"L2","10uH","L_1210_3225Metric",184.802651,-103.975000,90.000000,top
"L3","10uH","L_1210_3225Metric",184.802651,-98.575000,-90.000000,top
"L4","TCK-176","TCK-176",169.802651,-109.775000,0.000000,top
"L5","10uH","L_1210_3225Metric",219.200000,-47.000000,0.000000,top
"PS1","TSR 0.6-4865WI","CONV_TSR_0.6-4833WI",179.802651,-112.062500,0.000000,top
"R1","47k","R_0603_1608Metric",160.402651,-85.775000,-90.000000,top
"R2","47k","R_0603_1608Metric",160.202651,-55.975000,-90.000000,top
"R3","127R","R_0603_1608Metric",163.802651,-79.575000,90.000000,top
"R4","127R","R_0603_1608Metric",163.602651,-49.775000,90.000000,top
"R5","10k","R_0603_1608Metric",233.700000,-100.600000,180.000000,top
"R6","118k","R_0603_1608Metric",167.002651,-79.775000,0.000000,top
"R7","118k","R_0603_1608Metric",166.802651,-49.975000,0.000000,top
"R8","10k","R_0603_1608Metric",170.602651,-79.775000,0.000000,top
"R9","10k","R_0603_1608Metric",170.402651,-49.975000,0.000000,top
"R10","100R","R_0603_1608Metric",174.602651,-85.975000,0.000000,top
"R11","100R","R_0603_1608Metric",174.602651,-56.175000,0.000000,top
"R12","100kR","R_0603_1608Metric",193.402651,-58.175000,0.000000,top
"R13","100kR","R_0603_1608Metric",193.402651,-54.375000,0.000000,top
"R14","10k","R_0603_1608Metric",214.200000,-78.000000,180.000000,top
"R15","?","R_0603_1608Metric",160.202651,-67.775000,90.000000,top
"R16","?","R_0603_1608Metric",162.202651,-67.775000,-90.000000,top
"R17","?","R_0603_1608Metric",173.402651,-66.575000,-90.000000,top
"R18","?","R_0603_1608Metric",171.402651,-66.575000,90.000000,top
"R19","10k","R_0603_1608Metric",214.002651,-65.175000,90.000000,top
"R20","10k","R_0603_1608Metric",211.802651,-65.175000,90.000000,top
"R21","10k","R_0603_1608Metric",216.202651,-65.175000,90.000000,top
"R22","?","R_0603_1608Metric",213.802651,-51.975000,90.000000,top
"R23","?","R_0603_1608Metric",213.802651,-55.375000,90.000000,top
"R24","10k","R_0603_1608Metric",218.402651,-56.975000,90.000000,top
"R25","10k","R_0603_1608Metric",222.402651,-56.975000,90.000000,top
"R26","10k","R_0603_1608Metric",220.402651,-56.975000,90.000000,top
"R27","10k","R_0603_1608Metric",206.802651,-77.975000,0.000000,top
"SHIELD1","BMI-S-230","Laird_Technologies_BMI-S-230-F_50.8x38.1mm",169.700000,-67.700000,90.000000,top
"U1","OPA1655DR","OPA1655DR",168.602651,-84.375000,0.000000,top
"U2","OPA1655DR","OPA1655DR",168.402651,-54.575000,0.000000,top
"U3","STM32F103C8","LQFP-48_7x7mm_P0.5mm",212.400000,-101.200000,180.000000,top
"U4","TDN 5-0923WI","Converter_DCDC_TRACO_TDN_5-xxxxWI_THT",165.375151,-104.057500,90.000000,top
"U5","LT1964-BYP","TSOT-23-5",165.602651,-67.775000,180.000000,top
"U6","LT1962","MSOP-8_3x3mm_P0.65mm",177.802651,-67.575000,0.000000,top
"U7","USBLC6-4SC6","SOT-23-6",226.000000,-107.600000,-90.000000,top
"U8","LP3962EMP-3.3","SOT150P696X180-5N",212.600000,-82.900000,0.000000,top
"U9","TL072","TSSOP-8_4.4x3mm_P0.65mm",204.402651,-57.637500,90.000000,top
"U10","WM8804GEDS","WM8804GEDS",222.602651,-67.375000,0.000000,top
"U11","LM7805MPX","SOT-223",196.940151,-82.775000,180.000000,top
"U12","PCM1808PW","SOP65P640X120-14N",222.802651,-51.775000,180.000000,top
"U13","LP3962EMP-3.3","SOT150P696X180-5N",208.402651,-72.375000,90.000000,top
"Y1","16 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",221.800000,-101.200000,0.000000,top
"Y2","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",223.000000,-75.000000,-90.000000,top
